	id	prediction
457	DEL00004437	1.0
458	DEL00004450	1.0
459	DEL00004451	1.0
461	DEL00004461	1.0
462	DEL00004466	1.0
463	DEL00004478	1.0
464	DEL00004479	1.0
465	DEL00004481	1.0
466	DEL00004485	1.0
467	DEL00004486	1.0
468	DEL00004489	1.0
469	DEL00004496	1.0
471	DEL00004500	1.0
472	DEL00004501	0.0
473	DEL00004510	1.0
474	DEL00004512	1.0
475	DEL00004513	1.0
476	DEL00004518	0.0
477	DEL00004526	1.0
478	DEL00004533	1.0
479	DEL00004541	1.0
481	DEL00004553	1.0
482	DEL00004558	1.0
483	DEL00004560	1.0
484	DEL00004564	1.0
485	DEL00004586	1.0
486	DEL00004588	1.0
487	DEL00004592	1.0
488	DEL00004593	1.0
489	DEL00004596	1.0
491	DEL00004599	1.0
492	DEL00004600	1.0
493	DEL00004610	1.0
494	DEL00004613	1.0
495	DEL00004617	0.0
496	DEL00004627	1.0
497	DEL00004628	1.0
498	DEL00004633	1.0
499	DEL00004634	1.0
501	DEL00004661	1.0
502	DEL00004671	1.0
503	DEL00004678	1.0
504	DEL00004681	1.0
505	DEL00004684	0.0
506	DEL00004687	1.0
507	DEL00004697	1.0
508	DEL00004699	1.0
509	DEL00004702	1.0
511	DEL00004722	1.0
512	DEL00004727	0.0
513	DEL00004729	1.0
514	DEL00004736	1.0
515	DEL00004740	1.0
516	DEL00004746	1.0
517	DEL00004754	1.0
518	DEL00004762	1.0
519	DEL00004775	1.0
521	DEL00004785	1.0
522	DEL00004787	1.0
523	DEL00004793	0.0
524	DEL00004795	1.0
525	DEL00004799	1.0
526	DEL00004805	1.0
527	DEL00004812	1.0
528	DEL00004815	1.0
529	DEL00004818	1.0
531	DEL00004826	1.0
532	DEL00004835	1.0
533	DEL00004837	0.0
534	DEL00004840	1.0
535	DEL00004841	1.0
536	DEL00004847	1.0
537	DEL00004850	1.0
538	DEL00004860	1.0
539	DEL00004865	0.0
541	DEL00004872	1.0
542	DEL00004874	1.0
543	DEL00004875	1.0
544	DEL00004876	1.0
545	DEL00004878	1.0
546	DEL00004892	1.0
547	DEL00004901	1.0
548	DEL00004902	1.0
549	DEL00004905	1.0
551	DEL00004909	1.0
552	DEL00004915	1.0
553	DEL00004922	1.0
554	DEL00004923	1.0
555	DEL00004924	1.0
556	DEL00004926	1.0
557	DEL00004928	1.0
558	DEL00004932	0.0
559	DEL00004933	1.0
561	DEL00004941	1.0
562	DEL00004946	1.0
563	DEL00004951	1.0
564	DEL00004952	1.0
565	DEL00004954	1.0
566	DEL00004959	1.0
567	DEL00004973	1.0
568	DEL00004974	1.0
569	DEL00004986	1.0
571	DEL00005000	0.0
572	DEL00005013	1.0
573	DEL00005019	1.0
574	DEL00005021	1.0
575	DEL00005023	1.0
576	DEL00005024	1.0
577	DEL00005025	1.0
578	DEL00005026	1.0
579	DEL00005035	1.0
581	DEL00005045	1.0
582	DEL00005047	1.0
583	DEL00005049	1.0
584	DEL00005055	1.0
585	DEL00005056	1.0
586	DEL00005057	0.0
587	DEL00005073	0.0
588	DEL00005076	1.0
589	DEL00005077	1.0
591	DEL00005088	1.0
592	DEL00005101	1.0
593	DEL00005107	1.0
594	DEL00005115	1.0
595	DEL00005117	1.0
596	DEL00005125	1.0
597	DEL00005130	1.0
598	DEL00005131	1.0
599	DEL00005133	1.0
601	DEL00005137	1.0
602	DEL00005138	1.0
603	DEL00005139	1.0
604	DEL00005141	1.0
605	DEL00005142	1.0
606	DEL00005143	1.0
607	DEL00005144	1.0
608	DEL00005153	1.0
609	DEL00005157	1.0
611	DEL00005168	1.0
612	DEL00005170	1.0
613	DEL00005176	1.0
614	DEL00005177	1.0
615	DEL00005181	1.0
616	DEL00005182	1.0
617	DEL00005183	1.0
618	DEL00005184	1.0
619	DEL00005187	1.0
621	DEL00005206	1.0
622	DEL00005208	1.0
623	DEL00005209	1.0
624	DEL00005211	0.0
625	DEL00005213	1.0
626	DEL00005224	1.0
627	DEL00005230	1.0
628	DEL00005231	1.0
629	DEL00005232	1.0
631	DEL00005240	1.0
632	DEL00005241	1.0
633	DEL00005242	1.0
634	DEL00005248	1.0
635	DEL00005251	1.0
636	DEL00005262	1.0
637	DEL00005265	1.0
638	DEL00005267	1.0
639	DEL00005275	1.0
640	DEL00005277	0.0
641	DEL00005278	1.0
642	DEL00005279	1.0
643	DEL00005285	1.0
644	DEL00005290	1.0
645	DEL00005292	1.0
646	DEL00005294	1.0
647	DEL00005296	0.0
648	DEL00005298	1.0
649	DEL00005299	1.0
650	DEL00005303	1.0
651	DEL00005307	1.0
652	DEL00005315	1.0
653	DEL00005325	1.0
654	DEL00005327	1.0
655	DEL00005328	1.0
656	DEL00005330	1.0
657	DEL00005331	1.0
658	DEL00005335	1.0
659	DEL00005345	1.0
660	DEL00005356	1.0
661	DEL00005363	1.0
662	DEL00005365	1.0
663	DEL00005366	1.0
664	DEL00005370	1.0
665	DEL00005372	1.0
666	DEL00005373	1.0
667	DEL00005377	0.0
668	DEL00005378	1.0
669	DEL00005385	1.0
670	DEL00005387	1.0
671	DEL00005393	1.0
672	DEL00005407	1.0
673	DEL00005408	1.0
674	DEL00005409	1.0
675	DEL00005418	1.0
676	DEL00005422	1.0
677	DEL00005430	1.0
678	DEL00005433	1.0
679	DEL00005439	1.0
680	DEL00005444	1.0
681	DEL00005447	1.0
682	DEL00005449	1.0
683	DEL00005451	1.0
684	DEL00005452	1.0
685	DEL00005466	1.0
686	DEL00005469	1.0
687	DEL00005471	1.0
688	DEL00005479	1.0
689	DEL00005480	1.0
690	DEL00005489	1.0
691	DEL00005490	1.0
692	DEL00005493	1.0
693	DEL00005494	1.0
694	DEL00005497	1.0
695	DEL00005498	1.0
696	DEL00005504	1.0
697	DEL00005505	0.0
698	DEL00005507	1.0
699	DEL00005522	1.0
700	DEL00005526	1.0
701	DEL00005530	1.0
702	DEL00005531	1.0
703	DEL00005544	1.0
704	DEL00005545	1.0
705	DEL00005547	1.0
706	DEL00005550	1.0
707	DEL00005561	0.0
708	DEL00005570	0.0
709	DEL00005574	1.0
710	DEL00005575	1.0
712	DEL00005579	1.0
713	DEL00005585	1.0
714	DEL00005598	1.0
715	DEL00005601	1.0
716	DEL00005613	0.0
717	DEL00005614	1.0
718	DEL00005620	1.0
719	DEL00005624	1.0
720	DEL00005636	1.0
721	DEL00005640	1.0
722	DEL00005641	0.0
723	DEL00005644	1.0
724	DEL00005657	1.0
725	DEL00005659	1.0
726	DEL00005660	1.0
727	DEL00005661	1.0
728	DEL00005665	1.0
729	DEL00005674	1.0
730	DEL00005675	1.0
731	DEL00005702	1.0
732	DEL00005709	1.0
733	DEL00005710	0.0
734	DEL00005711	1.0
735	DEL00005726	1.0
736	DEL00005727	1.0
737	DEL00005732	1.0
738	DEL00005733	1.0
739	DEL00005742	1.0
740	DEL00005743	1.0
741	DEL00005744	1.0
742	DEL00005750	1.0
743	DEL00005753	1.0
744	DEL00005754	1.0
745	DEL00005756	0.0
746	DEL00005762	1.0
747	DEL00005765	1.0
748	DEL00005777	1.0
749	DEL00005782	1.0
750	DEL00005799	1.0
751	DEL00005800	1.0
752	DEL00005805	1.0
753	DEL00005809	1.0
754	DEL00005810	1.0
755	DEL00005815	1.0
756	DEL00005816	1.0
757	DEL00005821	1.0
758	DEL00005826	1.0
759	DEL00005831	1.0
761	DEL00005838	1.0
762	DEL00005841	1.0
763	DEL00005842	1.0
764	DEL00005843	1.0
765	DEL00005846	1.0
766	DEL00005848	1.0
767	DEL00005858	1.0
768	DEL00005860	1.0
769	DEL00005862	1.0
771	DEL00005864	1.0
772	DEL00005866	1.0
773	DEL00005867	1.0
774	DEL00005877	1.0
775	DEL00005881	1.0
776	DEL00005882	1.0
777	DEL00005883	1.0
778	DEL00005885	1.0
779	DEL00005886	1.0
781	DEL00005893	1.0
782	DEL00005897	1.0
783	DEL00005898	0.0
784	DEL00005906	1.0
785	DEL00005909	1.0
786	DEL00005915	1.0
787	DEL00005917	1.0
788	DEL00005918	1.0
789	DEL00005923	1.0
791	DEL00005951	1.0
792	DEL00005953	1.0
793	DEL00005954	1.0
794	DEL00005957	1.0
795	DEL00005963	1.0
796	DEL00005966	1.0
797	DEL00005973	1.0
798	DEL00005974	1.0
799	DEL00005975	1.0
801	DEL00005987	1.0
802	DEL00005996	1.0
803	DEL00006009	1.0
804	DEL00006012	1.0
805	DEL00006013	1.0
806	DEL00006018	1.0
807	DEL00006021	1.0
808	DEL00006024	1.0
809	DEL00006027	1.0
811	DEL00006034	1.0
812	DEL00006035	1.0
813	DEL00006038	1.0
814	DEL00006042	1.0
815	DEL00006045	1.0
816	DEL00006049	1.0
817	DEL00006054	1.0
818	DEL00006055	1.0
819	DEL00006057	1.0
821	DEL00006059	1.0
822	DEL00006061	1.0
823	DEL00006064	1.0
824	DEL00006068	1.0
825	DEL00006072	0.0
826	DEL00006079	1.0
827	DEL00006088	1.0
828	DEL00006097	1.0
829	DEL00006102	1.0
831	DEL00006109	1.0
832	DEL00006110	1.0
833	DEL00006114	1.0
834	DEL00006117	1.0
835	DEL00006118	1.0
836	DEL00006120	1.0
837	DEL00006121	1.0
838	DEL00006126	1.0
839	DEL00006138	1.0
841	DEL00006154	1.0
842	DEL00006161	1.0
843	DEL00006163	1.0
844	DEL00006167	1.0
845	DEL00006168	1.0
846	DEL00006173	1.0
847	DEL00006174	1.0
848	DEL00006175	1.0
849	DEL00006176	1.0
851	DEL00006184	1.0
852	DEL00006185	1.0
853	DEL00006186	1.0
854	DEL00006188	1.0
855	DEL00006190	1.0
856	DEL00006191	1.0
857	DEL00006192	1.0
858	DEL00006193	1.0
859	DEL00006199	1.0
861	DEL00006208	1.0
862	DEL00006210	1.0
863	DEL00006211	1.0
864	DEL00006221	1.0
865	DEL00006225	1.0
866	DEL00006226	1.0
867	DEL00006231	1.0
868	DEL00006243	1.0
869	DEL00006245	1.0
870	DEL00006246	1.0
871	DEL00006248	1.0
872	DEL00006250	1.0
873	DEL00006252	1.0
874	DEL00006255	0.0
875	DEL00006256	1.0
876	DEL00006257	1.0
877	DEL00006258	1.0
878	DEL00006259	1.0
879	DEL00006269	1.0
881	DEL00006273	1.0
882	DEL00006281	1.0
883	DEL00006295	1.0
884	DEL00006296	1.0
885	DEL00006297	1.0
886	DEL00006301	1.0
887	DEL00006302	1.0
888	DEL00006308	1.0
889	DEL00006311	1.0
891	DEL00006315	1.0
892	DEL00006317	1.0
893	DEL00006318	1.0
894	DEL00006321	1.0
895	DEL00006329	1.0
896	DEL00006330	0.0
897	DEL00006334	1.0
898	DEL00006335	0.0
899	DEL00006338	1.0
900	DEL00006339	1.0
901	DEL00006347	1.0
902	DEL00006348	1.0
903	DEL00006351	1.0
904	DEL00006353	1.0
905	DEL00006354	1.0
906	DEL00006355	1.0
907	DEL00006356	1.0
908	DEL00006367	1.0
909	DEL00006374	1.0
911	DEL00006381	1.0
912	DEL00006387	1.0
913	DEL00006391	1.0
914	DEL00006409	1.0
915	DEL00006426	1.0
916	DEL00006432	1.0
917	DEL00006435	1.0
918	DEL00006439	1.0
919	DEL00006445	1.0
921	DEL00006449	1.0
922	DEL00006452	1.0
923	DEL00006455	1.0
924	DEL00006464	1.0
925	DEL00006483	1.0
926	DEL00006488	1.0
927	DEL00006490	1.0
928	DEL00006493	1.0
929	DEL00006496	1.0
931	DEL00006498	1.0
932	DEL00006501	1.0
933	DEL00006504	1.0
934	DEL00006510	0.0
935	DEL00006511	1.0
936	DEL00006519	1.0
937	DEL00006521	1.0
938	DEL00006524	1.0
939	DEL00006525	1.0
940	DEL00006534	1.0
941	DEL00006536	1.0
942	DEL00006540	0.0
943	DEL00006546	1.0
944	DEL00006547	1.0
945	DEL00006556	1.0
946	DEL00006563	1.0
947	DEL00006567	1.0
948	DEL00006569	1.0
949	DEL00006576	1.0
951	DEL00006592	1.0
952	DEL00006594	1.0
953	DEL00006612	1.0
954	DEL00006619	1.0
955	DEL00006620	1.0
956	DEL00006622	1.0
957	DEL00006625	1.0
958	DEL00006627	1.0
959	DEL00006634	1.0
962	DEL00006651	1.0
963	DEL00006655	1.0
964	DEL00006657	1.0
965	DEL00006661	1.0
966	DEL00006662	1.0
967	DEL00006663	1.0
968	DEL00006668	0.0
969	DEL00006672	1.0
971	DEL00006684	1.0
972	DEL00006689	1.0
973	DEL00006691	1.0
974	DEL00006692	1.0
975	DEL00006693	1.0
976	DEL00006696	0.0
977	DEL00006699	1.0
978	DEL00006700	1.0
979	DEL00006702	1.0
981	DEL00006710	1.0
982	DEL00006717	1.0
983	DEL00006720	1.0
984	DEL00006721	1.0
985	DEL00006725	1.0
986	DEL00006735	1.0
987	DEL00006741	1.0
988	DEL00006742	1.0
989	DEL00006745	1.0
991	DEL00006762	1.0
992	DEL00006770	1.0
993	DEL00006780	1.0
994	DEL00006795	0.0
995	DEL00006797	1.0
996	DEL00006812	1.0
997	DEL00006826	1.0
998	DEL00006827	1.0
999	DEL00006830	1.0
1001	DEL00006838	1.0
1002	DEL00006839	0.0
1003	DEL00006848	1.0
1004	DEL00006852	1.0
1005	DEL00006858	1.0
1006	DEL00006863	1.0
1007	DEL00006869	1.0
1008	DEL00006871	1.0
1009	DEL00006875	1.0
1011	DEL00006886	1.0
1012	DEL00006892	1.0
1013	DEL00006895	1.0
1014	DEL00006897	1.0
1015	DEL00006899	1.0
1016	DEL00006906	1.0
1017	DEL00006907	1.0
1018	DEL00006918	1.0
1019	DEL00006919	1.0
1020	DEL00006945	0.0
1021	DEL00006950	1.0
1022	DEL00006962	1.0
1023	DEL00006969	1.0
1024	DEL00006973	1.0
1025	DEL00006980	1.0
1026	DEL00007003	1.0
1027	DEL00007010	1.0
1028	DEL00007012	1.0
1029	DEL00007013	1.0
1031	DEL00007015	1.0
1032	DEL00007022	1.0
1033	DEL00007028	1.0
1034	DEL00007033	1.0
1035	DEL00007036	1.0
1036	DEL00007042	1.0
1037	DEL00007045	1.0
1038	DEL00007046	1.0
1039	DEL00007053	1.0
1041	DEL00007074	1.0
1042	DEL00007076	1.0
1043	DEL00007077	1.0
1044	DEL00007081	1.0
1045	DEL00007085	1.0
1046	DEL00007087	1.0
1047	DEL00007090	1.0
1048	DEL00007093	1.0
1049	DEL00007097	1.0
1051	DEL00007105	1.0
1052	DEL00007106	1.0
1053	DEL00007110	1.0
1054	DEL00007112	1.0
1055	DEL00007114	1.0
1056	DEL00007115	1.0
1057	DEL00007124	1.0
1058	DEL00007130	1.0
1059	DEL00007132	1.0
1061	DEL00007146	1.0
1062	DEL00007148	1.0
1063	DEL00007152	1.0
1064	DEL00007153	1.0
1065	DEL00007161	1.0
1066	DEL00007167	1.0
1067	DEL00007168	1.0
1068	DEL00007171	1.0
1069	DEL00007192	1.0
1071	DEL00007195	1.0
1072	DEL00007197	1.0
1073	DEL00007198	1.0
1074	DEL00007213	0.0
1075	DEL00007216	1.0
1076	DEL00007230	1.0
1077	DEL00007234	1.0
1078	DEL00007253	0.0
1079	DEL00007937	1.0
1082	DEL00007989	1.0
1083	DEL00008002	0.0
1084	DEL00008009	0.0
1085	DEL00008019	1.0
1086	DEL00008023	0.0
1087	DEL00008030	0.0
1088	DEL00008036	1.0
1089	DEL00008038	1.0
1090	DEL00008044	0.0
1091	DEL00008052	1.0
1092	DEL00008054	1.0
1093	DEL00008059	1.0
1094	DEL00008078	1.0
1095	DEL00008081	1.0
1096	DEL00008082	1.0
1097	DEL00008090	1.0
1098	DEL00008094	1.0
1099	DEL00008098	1.0
1101	DEL00008133	1.0
1102	DEL00008141	1.0
1103	DEL00008142	1.0
1104	DEL00008151	1.0
1105	DEL00008154	1.0
1106	DEL00008157	1.0
1107	DEL00008164	1.0
1108	DEL00008166	1.0
1109	DEL00008174	0.0
1112	DEL00008199	1.0
1113	DEL00008201	1.0
1114	DEL00008203	1.0
1115	DEL00008205	0.0
1116	DEL00008211	1.0
1117	DEL00008217	1.0
1118	DEL00008218	1.0
1119	DEL00008235	1.0
1121	DEL00008245	1.0
1122	DEL00008247	1.0
1123	DEL00008252	1.0
1124	DEL00008262	1.0
1125	DEL00008263	0.0
1126	DEL00008264	1.0
1127	DEL00008276	1.0
1128	DEL00008343	1.0
1129	DEL00008344	1.0
1131	DEL00008348	1.0
1132	DEL00008353	1.0
1133	DEL00008361	0.0
1134	DEL00008364	1.0
1135	DEL00008380	1.0
1136	DEL00008381	1.0
1137	DEL00008390	1.0
1138	DEL00008394	1.0
1139	DEL00008397	1.0
1141	DEL00008403	1.0
1142	DEL00008404	1.0
1143	DEL00008413	0.0
1144	DEL00008419	1.0
1145	DEL00008420	1.0
1146	DEL00008421	1.0
1147	DEL00008422	1.0
1148	DEL00008430	1.0
1149	DEL00008432	1.0
1152	DEL00008446	1.0
1153	DEL00008451	1.0
1154	DEL00008458	1.0
1155	DEL00008459	1.0
1156	DEL00008462	0.0
1157	DEL00008476	1.0
1158	DEL00008496	1.0
1159	DEL00008509	1.0
1161	DEL00008516	1.0
1162	DEL00008518	1.0
1163	DEL00008521	1.0
1164	DEL00008522	1.0
1165	DEL00008542	1.0
1166	DEL00008543	1.0
